segment_id,cities,devices,affinities
48040163,"[{""city"": ""Казань"", ""percent"": ""88,3 %""}, {""city"": ""Москва"", ""percent"": ""1,7 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""1,58 %""}, {""city"": ""Самара"", ""percent"": ""1,54 %""}, {""city"": ""Уфа"", ""percent"": ""1,22 %""}, {""city"": ""Смоленск"", ""percent"": ""0,63 %""}, {""city"": ""Санкт-Петербург"", ""percent"": ""0,36 %""}, {""city"": ""Амстердам"", ""percent"": ""0,28 %""}, {""city"": ""Набережные Челны"", ""percent"": ""0,28 %""}, {""city"": ""Чебоксары"", ""percent"": ""0,24 %""}]","[{""device"": ""Смартфоны"", ""percent"": ""47,9 %""}, {""device"": ""Кросс-девайс"", ""percent"": ""47,7 %""}, {""device"": ""ПК"", ""percent"": ""4,11 %""}, {""device"": ""Планшеты"", ""percent"": ""0,28 %""}]","[{""label"": ""IT"", ""affinity"": ""140 %""}, {""label"": ""Туризм"", ""affinity"": ""139 %""}, {""label"": ""Финансы"", ""affinity"": ""132 %""}, {""label"": ""Семья и дети"", ""affinity"": ""130 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""127 %""}, {""label"": ""Спорт"", ""affinity"": ""123 %""}, {""label"": ""Недвижимость"", ""affinity"": ""118 %""}, {""label"": ""Кулинария"", ""affinity"": ""111 %""}, {""label"": ""Домашние животные"", ""affinity"": ""110 %""}, {""label"": ""Авто"", ""affinity"": ""108 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""187 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""142 %""}, {""label"": ""Следят за модой"", ""affinity"": ""133 %""}, {""label"": ""Студенты"", ""affinity"": ""132 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""126 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""121 %""}, {""label"": ""Есть дети"", ""affinity"": ""119 %""}, {""label"": ""Геймеры"", ""affinity"": ""108 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}]"
48017754,"[{""city"": ""Казань"", ""percent"": ""83 %""}, {""city"": ""Самара"", ""percent"": ""2,4 %""}, {""city"": ""Москва"", ""percent"": ""2,18 %""}, {""city"": ""Уфа"", ""percent"": ""1,92 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""1,81 %""}, {""city"": ""Оренбург"", ""percent"": ""0,78 %""}, {""city"": ""Набережные Челны"", ""percent"": ""0,67 %""}, {""city"": ""Санкт-Петербург"", ""percent"": ""0,55 %""}, {""city"": ""Амстердам"", ""percent"": ""0,48 %""}, {""city"": ""Екатеринбург"", ""percent"": ""0,44 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""58 %""}, {""device"": ""Смартфоны"", ""percent"": ""38,5 %""}, {""device"": ""ПК"", ""percent"": ""3,4 %""}, {""device"": ""Планшеты"", ""percent"": ""0,15 %""}]","[{""label"": ""Туризм"", ""affinity"": ""152 %""}, {""label"": ""Спорт"", ""affinity"": ""152 %""}, {""label"": ""IT"", ""affinity"": ""151 %""}, {""label"": ""Финансы"", ""affinity"": ""133 %""}, {""label"": ""Недвижимость"", ""affinity"": ""129 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""127 %""}, {""label"": ""Семья и дети"", ""affinity"": ""126 %""}, {""label"": ""Авто"", ""affinity"": ""113 %""}, {""label"": ""Кулинария"", ""affinity"": ""107 %""}, {""label"": ""Домашние животные"", ""affinity"": ""105 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""177 %""}, {""label"": ""Студенты"", ""affinity"": ""145 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""141 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""136 %""}, {""label"": ""Следят за модой"", ""affinity"": ""134 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""130 %""}, {""label"": ""Есть дети"", ""affinity"": ""108 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Геймеры"", ""affinity"": ""83 %""}]"
48017753,"[{""city"": ""Казань"", ""percent"": ""43,9 %""}, {""city"": ""Москва"", ""percent"": ""10,8 %""}, {""city"": ""Санкт-Петербург"", ""percent"": ""3,76 %""}, {""city"": ""Самара"", ""percent"": ""2,72 %""}, {""city"": ""Екатеринбург"", ""percent"": ""2,41 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""2,38 %""}, {""city"": ""Уфа"", ""percent"": ""1,92 %""}, {""city"": ""Ижевск"", ""percent"": ""1,11 %""}, {""city"": ""Омск"", ""percent"": ""1,07 %""}, {""city"": ""Саратов"", ""percent"": ""0,96 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""58,6 %""}, {""device"": ""Смартфоны"", ""percent"": ""37,7 %""}, {""device"": ""ПК"", ""percent"": ""3,41 %""}, {""device"": ""Планшеты"", ""percent"": ""0,31 %""}]","[{""label"": ""Туризм"", ""affinity"": ""145 %""}, {""label"": ""Спорт"", ""affinity"": ""141 %""}, {""label"": ""Недвижимость"", ""affinity"": ""124 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""122 %""}, {""label"": ""Семья и дети"", ""affinity"": ""121 %""}, {""label"": ""Финансы"", ""affinity"": ""116 %""}, {""label"": ""Кулинария"", ""affinity"": ""114 %""}, {""label"": ""IT"", ""affinity"": ""114 %""}, {""label"": ""Авто"", ""affinity"": ""106 %""}, {""label"": ""Домашние животные"", ""affinity"": ""100 %""}, {""label"": ""Следят за модой"", ""affinity"": ""166 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""146 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""133 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""124 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""124 %""}, {""label"": ""Студенты"", ""affinity"": ""121 %""}, {""label"": ""Есть дети"", ""affinity"": ""106 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Геймеры"", ""affinity"": ""84 %""}]"
48017752,"[{""city"": ""Казань"", ""percent"": ""80,1 %""}, {""city"": ""Москва"", ""percent"": ""2,35 %""}, {""city"": ""Самара"", ""percent"": ""2,24 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""2,22 %""}, {""city"": ""Уфа"", ""percent"": ""1,83 %""}, {""city"": ""Амстердам"", ""percent"": ""0,91 %""}, {""city"": ""Санкт-Петербург"", ""percent"": ""0,74 %""}, {""city"": ""Набережные Челны"", ""percent"": ""0,5 %""}, {""city"": ""Воронеж"", ""percent"": ""0,47 %""}, {""city"": ""Чебоксары"", ""percent"": ""0,28 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""63 %""}, {""device"": ""Смартфоны"", ""percent"": ""34,7 %""}, {""device"": ""ПК"", ""percent"": ""2,18 %""}, {""device"": ""Планшеты"", ""percent"": ""0,1 %""}]","[{""label"": ""IT"", ""affinity"": ""190 %""}, {""label"": ""Туризм"", ""affinity"": ""161 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""148 %""}, {""label"": ""Спорт"", ""affinity"": ""145 %""}, {""label"": ""Финансы"", ""affinity"": ""135 %""}, {""label"": ""Семья и дети"", ""affinity"": ""124 %""}, {""label"": ""Недвижимость"", ""affinity"": ""117 %""}, {""label"": ""Кулинария"", ""affinity"": ""110 %""}, {""label"": ""Домашние животные"", ""affinity"": ""101 %""}, {""label"": ""Авто"", ""affinity"": ""85 %""}, {""label"": ""Студенты"", ""affinity"": ""466 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""173 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""147 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""130 %""}, {""label"": ""Следят за модой"", ""affinity"": ""124 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""103 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Есть дети"", ""affinity"": ""95 %""}, {""label"": ""Геймеры"", ""affinity"": ""83 %""}]"
48017751,"[{""city"": ""Казань"", ""percent"": ""82,2 %""}, {""city"": ""Самара"", ""percent"": ""2,45 %""}, {""city"": ""Уфа"", ""percent"": ""2,14 %""}, {""city"": ""Набережные Челны"", ""percent"": ""1,95 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""1,79 %""}, {""city"": ""Москва"", ""percent"": ""1,36 %""}, {""city"": ""Амстердам"", ""percent"": ""0,96 %""}, {""city"": ""Йошкар-Ола"", ""percent"": ""0,4 %""}, {""city"": ""Альметьевск"", ""percent"": ""0,37 %""}, {""city"": ""Чебоксары"", ""percent"": ""0,22 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""73,3 %""}, {""device"": ""Смартфоны"", ""percent"": ""22,6 %""}, {""device"": ""ПК"", ""percent"": ""3,99 %""}, {""device"": ""Планшеты"", ""percent"": ""0,06 %""}]","[{""label"": ""IT"", ""affinity"": ""206 %""}, {""label"": ""Спорт"", ""affinity"": ""145 %""}, {""label"": ""Туризм"", ""affinity"": ""139 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""133 %""}, {""label"": ""Семья и дети"", ""affinity"": ""128 %""}, {""label"": ""Финансы"", ""affinity"": ""126 %""}, {""label"": ""Кулинария"", ""affinity"": ""113 %""}, {""label"": ""Недвижимость"", ""affinity"": ""112 %""}, {""label"": ""Авто"", ""affinity"": ""86 %""}, {""label"": ""Домашние животные"", ""affinity"": ""84 %""}, {""label"": ""Студенты"", ""affinity"": ""413 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""131 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""126 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""119 %""}, {""label"": ""Следят за модой"", ""affinity"": ""115 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""99 %""}, {""label"": ""Есть дети"", ""affinity"": ""99 %""}, {""label"": ""Геймеры"", ""affinity"": ""89 %""}]"
48017750,"[{""city"": ""Казань"", ""percent"": ""83,1 %""}, {""city"": ""Москва"", ""percent"": ""2,38 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""1,7 %""}, {""city"": ""Самара"", ""percent"": ""1,66 %""}, {""city"": ""Уфа"", ""percent"": ""1,57 %""}, {""city"": ""Екатеринбург"", ""percent"": ""0,9 %""}, {""city"": ""Амстердам"", ""percent"": ""0,85 %""}, {""city"": ""Набережные Челны"", ""percent"": ""0,63 %""}, {""city"": ""Саратов"", ""percent"": ""0,45 %""}, {""city"": ""Санкт-Петербург"", ""percent"": ""0,4 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""65 %""}, {""device"": ""Смартфоны"", ""percent"": ""29,8 %""}, {""device"": ""ПК"", ""percent"": ""5,07 %""}, {""device"": ""Планшеты"", ""percent"": ""0,13 %""}]","[{""label"": ""IT"", ""affinity"": ""149 %""}, {""label"": ""Туризм"", ""affinity"": ""140 %""}, {""label"": ""Спорт"", ""affinity"": ""138 %""}, {""label"": ""Семья и дети"", ""affinity"": ""121 %""}, {""label"": ""Недвижимость"", ""affinity"": ""121 %""}, {""label"": ""Финансы"", ""affinity"": ""119 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""110 %""}, {""label"": ""Кулинария"", ""affinity"": ""108 %""}, {""label"": ""Авто"", ""affinity"": ""100 %""}, {""label"": ""Домашние животные"", ""affinity"": ""95 %""}, {""label"": ""Студенты"", ""affinity"": ""313 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""146 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""141 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""124 %""}, {""label"": ""Следят за модой"", ""affinity"": ""115 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""112 %""}, {""label"": ""Есть дети"", ""affinity"": ""101 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Геймеры"", ""affinity"": ""83 %""}]"
48017749,"[{""city"": ""Казань"", ""percent"": ""75,9 %""}, {""city"": ""Москва"", ""percent"": ""5,35 %""}, {""city"": ""Уфа"", ""percent"": ""2,19 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""1,75 %""}, {""city"": ""Самара"", ""percent"": ""1,42 %""}, {""city"": ""Набережные Челны"", ""percent"": ""1,09 %""}, {""city"": ""Астана"", ""percent"": ""0,98 %""}, {""city"": ""Санкт-Петербург"", ""percent"": ""0,88 %""}, {""city"": ""Йошкар-Ола"", ""percent"": ""0,88 %""}, {""city"": ""Ульяновск"", ""percent"": ""0,77 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""54,5 %""}, {""device"": ""Смартфоны"", ""percent"": ""41,5 %""}, {""device"": ""ПК"", ""percent"": ""4,04 %""}]","[{""label"": ""IT"", ""affinity"": ""126 %""}, {""label"": ""Туризм"", ""affinity"": ""123 %""}, {""label"": ""Спорт"", ""affinity"": ""122 %""}, {""label"": ""Финансы"", ""affinity"": ""117 %""}, {""label"": ""Семья и дети"", ""affinity"": ""111 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""110 %""}, {""label"": ""Недвижимость"", ""affinity"": ""104 %""}, {""label"": ""Авто"", ""affinity"": ""103 %""}, {""label"": ""Домашние животные"", ""affinity"": ""101 %""}, {""label"": ""Кулинария"", ""affinity"": ""100 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""146 %""}, {""label"": ""Следят за модой"", ""affinity"": ""146 %""}, {""label"": ""Студенты"", ""affinity"": ""136 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""124 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""115 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""112 %""}, {""label"": ""Есть дети"", ""affinity"": ""105 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Геймеры"", ""affinity"": ""93 %""}]"
48017748,"[{""city"": ""Казань"", ""percent"": ""62,6 %""}, {""city"": ""Москва"", ""percent"": ""4,45 %""}, {""city"": ""Уфа"", ""percent"": ""3,07 %""}, {""city"": ""Самара"", ""percent"": ""2,87 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""2,52 %""}, {""city"": ""Амстердам"", ""percent"": ""1,68 %""}, {""city"": ""Екатеринбург"", ""percent"": ""1,24 %""}, {""city"": ""Набережные Челны"", ""percent"": ""1,19 %""}, {""city"": ""Красноярск"", ""percent"": ""0,99 %""}, {""city"": ""Чебоксары"", ""percent"": ""0,89 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""62,6 %""}, {""device"": ""Смартфоны"", ""percent"": ""32,6 %""}, {""device"": ""ПК"", ""percent"": ""4,24 %""}, {""device"": ""Планшеты"", ""percent"": ""0,49 %""}]","[{""label"": ""IT"", ""affinity"": ""149 %""}, {""label"": ""Туризм"", ""affinity"": ""125 %""}, {""label"": ""Спорт"", ""affinity"": ""123 %""}, {""label"": ""Финансы"", ""affinity"": ""116 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""114 %""}, {""label"": ""Семья и дети"", ""affinity"": ""111 %""}, {""label"": ""Недвижимость"", ""affinity"": ""106 %""}, {""label"": ""Кулинария"", ""affinity"": ""104 %""}, {""label"": ""Домашние животные"", ""affinity"": ""102 %""}, {""label"": ""Авто"", ""affinity"": ""94 %""}, {""label"": ""Студенты"", ""affinity"": ""272 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""135 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""120 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""108 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""101 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Есть дети"", ""affinity"": ""98 %""}, {""label"": ""Следят за модой"", ""affinity"": ""92 %""}, {""label"": ""Геймеры"", ""affinity"": ""91 %""}]"
48017747,"[{""city"": ""Казань"", ""percent"": ""60,4 %""}, {""city"": ""Москва"", ""percent"": ""10,2 %""}, {""city"": ""Санкт-Петербург"", ""percent"": ""3,19 %""}, {""city"": ""Уфа"", ""percent"": ""2,39 %""}, {""city"": ""Самара"", ""percent"": ""1,96 %""}, {""city"": ""Екатеринбург"", ""percent"": ""1,57 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""1,55 %""}, {""city"": ""Набережные Челны"", ""percent"": ""0,98 %""}, {""city"": ""Амстердам"", ""percent"": ""0,65 %""}, {""city"": ""Краснодар"", ""percent"": ""0,53 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""64,8 %""}, {""device"": ""Смартфоны"", ""percent"": ""32 %""}, {""device"": ""ПК"", ""percent"": ""3 %""}, {""device"": ""Планшеты"", ""percent"": ""0,18 %""}]","[{""label"": ""Туризм"", ""affinity"": ""161 %""}, {""label"": ""IT"", ""affinity"": ""160 %""}, {""label"": ""Спорт"", ""affinity"": ""141 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""134 %""}, {""label"": ""Финансы"", ""affinity"": ""133 %""}, {""label"": ""Недвижимость"", ""affinity"": ""125 %""}, {""label"": ""Семья и дети"", ""affinity"": ""124 %""}, {""label"": ""Кулинария"", ""affinity"": ""110 %""}, {""label"": ""Авто"", ""affinity"": ""105 %""}, {""label"": ""Домашние животные"", ""affinity"": ""95 %""}, {""label"": ""Студенты"", ""affinity"": ""273 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""165 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""139 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""136 %""}, {""label"": ""Следят за модой"", ""affinity"": ""133 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""118 %""}, {""label"": ""Есть дети"", ""affinity"": ""108 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Геймеры"", ""affinity"": ""85 %""}]"
48017746,"[{""city"": ""Казань"", ""percent"": ""82,8 %""}, {""city"": ""Самара"", ""percent"": ""2,24 %""}, {""city"": ""Уфа"", ""percent"": ""2,24 %""}, {""city"": ""Нижний Новгород"", ""percent"": ""2,08 %""}, {""city"": ""Москва"", ""percent"": ""1,33 %""}, {""city"": ""Набережные Челны"", ""percent"": ""0,89 %""}, {""city"": ""Амстердам"", ""percent"": ""0,8 %""}, {""city"": ""Чебоксары"", ""percent"": ""0,43 %""}, {""city"": ""Альметьевск"", ""percent"": ""0,33 %""}, {""city"": ""Ижевск"", ""percent"": ""0,3 %""}]","[{""device"": ""Кросс-девайс"", ""percent"": ""71 %""}, {""device"": ""Смартфоны"", ""percent"": ""26 %""}, {""device"": ""ПК"", ""percent"": ""2,89 %""}, {""device"": ""Планшеты"", ""percent"": ""0,1 %""}]","[{""label"": ""IT"", ""affinity"": ""224 %""}, {""label"": ""Туризм"", ""affinity"": ""156 %""}, {""label"": ""Спорт"", ""affinity"": ""141 %""}, {""label"": ""Красота и здоровье"", ""affinity"": ""140 %""}, {""label"": ""Финансы"", ""affinity"": ""127 %""}, {""label"": ""Семья и дети"", ""affinity"": ""123 %""}, {""label"": ""Кулинария"", ""affinity"": ""114 %""}, {""label"": ""Недвижимость"", ""affinity"": ""106 %""}, {""label"": ""Авто"", ""affinity"": ""86 %""}, {""label"": ""Домашние животные"", ""affinity"": ""81 %""}, {""label"": ""Студенты"", ""affinity"": ""694 %""}, {""label"": ""Путешествуют по миру"", ""affinity"": ""153 %""}, {""label"": ""Путешествуют по стране"", ""affinity"": ""146 %""}, {""label"": ""Занимаются спортом"", ""affinity"": ""136 %""}, {""label"": ""Следят за модой"", ""affinity"": ""111 %""}, {""label"": ""Автомобилисты"", ""affinity"": ""106 %""}, {""label"": ""Домохозяйки"", ""affinity"": ""100 %""}, {""label"": ""Покупают в интернете"", ""affinity"": ""100 %""}, {""label"": ""Есть дети"", ""affinity"": ""100 %""}, {""label"": ""Геймеры"", ""affinity"": ""80 %""}]"
